store_id,store_name,address
1,Smith-Hernandez,"8122 Jennifer Course, Lake Lisafurt, Ontario, Canada, M3V 8G9"
2,"Miller, Walters and Harris","619 Gilbert Springs, New Amyville, Ontario, Canada, M6J3V2"
3,Arellano-Anderson,"0290 Hernandez Lane Suite 835, Williamsville, Ontario, Canada, Y7R 6L6"
4,"Wilson Group","2305 Katie Unions Apt. 263, West Adrian, Ontario, Canada, G6T2R6"
5,Bennett-Gregory,"164 Lauren Walk, North Ginaton, Ontario, Canada, N6J 6E1"
6,Gonzalez-Wagner,"71768 Townsend Haven Suite 901, Weberton, Ontario, Canada, T1G 2X5"
7,Durham-Bartlett,"377 Morrison Forge Apt. 607, North Robertberg, Ontario, Canada, H8Y8P2"
8,"Scott Inc","38473 Moore Squares Apt. 367, Lake Nathanport, Ontario, Canada, M8G 6N6"
9,"Conley and Sons","43904 Stacy Park Apt. 144, West David, Ontario, Canada, C2Y6L9"
10,Mullen-Jackson,"987 Jonathan Forges, Steinshire, Ontario, Canada, B5S 7S4"
